Skill,Skills,Experience,Projects,Projects_Completed,Job_Applications,Performance_Score
Python,8,1,4,4,5,70
ML,9,2,6,6,10,85
Web Dev,7,1,3,3,4,65
Data Science,9,3,8,8,15,92
Java,6,0,2,2,3,60
Cloud Computing,8,2,5,5,8,80
Cyber Security,7,1,4,4,6,75
DevOps,8,2,6,6,9,82
Mobile Dev,6,0,2,2,4,58
UI/UX,7,1,3,3,5,68
Networking,6,2,4,4,7,72
Databases,7,1,5,5,6,74
AI,9,3,9,9,12,95
Software Testing,6,0,2,2,3,55
Game Dev,8,2,6,6,10,88
Embedded Systems,7,1,4,4,5,66
Big Data,9,3,8,8,14,90
Blockchain,8,2,5,5,9,78
AR/VR,7,1,3,3,6,70
IoT,8,2,6,6,11,83
QA,6,0,2,2,4,60
UI Design,7,1,3,3,5,69
SEO,6,2,4,4,7,73
Content Writing,5,0,2,2,3,50
Digital Marketing,7,1,5,5,8,76
Data Analysis,8,2,6,6,10,84
Project Management,7,3,7,7,12,89
Technical Writing,6,1,3,3,5,65
Network Security,8,2,5,5,9,79
Cloud Architecture,9,3,8,8,13,91
